VarIdentificadorExamen,DtFechaExamen,VarEstadoExamen,VarNotaExamen
8c26b4f4-74f4-11ed-9ddf-0242ac1c000c,11/9/2022,Inactivo,715
8c26b706-74f4-11ed-9ddf-0242ac1c000c,22/1/2022,Activo,935
8c26b7a6-74f4-11ed-9ddf-0242ac1c000c,3/9/2022,Inactivo,977
8c26b832-74f4-11ed-9ddf-0242ac1c000c,19/4/2022,Inactivo,699
8c26b8b4-74f4-11ed-9ddf-0242ac1c000c,4/6/2022,Activo,669
8c26b92c-74f4-11ed-9ddf-0242ac1c000c,14/2/2022,Inactivo,852
8c26b9ae-74f4-11ed-9ddf-0242ac1c000c,10/3/2022,Activo,450
8c26bb70-74f4-11ed-9ddf-0242ac1c000c,23/5/2022,Inactivo,832
8c26bc42-74f4-11ed-9ddf-0242ac1c000c,15/9/2022,Inactivo,519
8c26bcce-74f4-11ed-9ddf-0242ac1c000c,24/7/2022,Inactivo,519
8c26bd46-74f4-11ed-9ddf-0242ac1c000c,18/6/2022,Activo,963
8c26bdbe-74f4-11ed-9ddf-0242ac1c000c,10/4/2022,Activo,694
8c26be36-74f4-11ed-9ddf-0242ac1c000c,19/5/2022,Inactivo,796
8c26beae-74f4-11ed-9ddf-0242ac1c000c,7/1/2022,Inactivo,973
8c26bf1c-74f4-11ed-9ddf-0242ac1c000c,20/5/2022,Inactivo,838
8c26bf94-74f4-11ed-9ddf-0242ac1c000c,9/8/2022,Activo,597
8c26c002-74f4-11ed-9ddf-0242ac1c000c,10/10/2022,Inactivo,708
8c26c07a-74f4-11ed-9ddf-0242ac1c000c,12/10/2022,Activo,761
8c26c0f2-74f4-11ed-9ddf-0242ac1c000c,16/6/2022,Activo,485
8c26c160-74f4-11ed-9ddf-0242ac1c000c,25/7/2022,Activo,533
8c26c1e2-74f4-11ed-9ddf-0242ac1c000c,11/1/2022,Activo,1000
8c26c25a-74f4-11ed-9ddf-0242ac1c000c,29/9/2022,Activo,931
8c26c2d2-74f4-11ed-9ddf-0242ac1c000c,11/4/2022,Activo,500
8c26c34a-74f4-11ed-9ddf-0242ac1c000c,29/3/2022,Activo,504
8c26c3b8-74f4-11ed-9ddf-0242ac1c000c,11/9/2022,Activo,702
8c26c426-74f4-11ed-9ddf-0242ac1c000c,3/8/2022,Inactivo,719
8c26c4a8-74f4-11ed-9ddf-0242ac1c000c,1/2/2022,Inactivo,745
8c26c516-74f4-11ed-9ddf-0242ac1c000c,19/9/2022,Inactivo,778
8c26c598-74f4-11ed-9ddf-0242ac1c000c,10/6/2022,Inactivo,585
8c26c606-74f4-11ed-9ddf-0242ac1c000c,8/3/2022,Inactivo,936
8c26c67e-74f4-11ed-9ddf-0242ac1c000c,20/10/2022,Activo,693
8c26c6ec-74f4-11ed-9ddf-0242ac1c000c,26/8/2022,Activo,433
8c26c764-74f4-11ed-9ddf-0242ac1c000c,29/5/2022,Activo,879
8c26c7dc-74f4-11ed-9ddf-0242ac1c000c,12/2/2022,Activo,485
8c26c854-74f4-11ed-9ddf-0242ac1c000c,25/11/2022,Inactivo,836
8c26c8d6-74f4-11ed-9ddf-0242ac1c000c,17/7/2022,Activo,666
8c26c94e-74f4-11ed-9ddf-0242ac1c000c,9/8/2022,Inactivo,890
8c26c9c6-74f4-11ed-9ddf-0242ac1c000c,7/4/2022,Inactivo,715
8c26ca3e-74f4-11ed-9ddf-0242ac1c000c,12/2/2022,Activo,627
8c26cab6-74f4-11ed-9ddf-0242ac1c000c,16/4/2022,Activo,597
8c26cb2e-74f4-11ed-9ddf-0242ac1c000c,21/8/2022,Activo,686
8c26cba6-74f4-11ed-9ddf-0242ac1c000c,10/9/2022,Activo,858
8c26cc1e-74f4-11ed-9ddf-0242ac1c000c,3/8/2022,Inactivo,674
8c26cc96-74f4-11ed-9ddf-0242ac1c000c,18/3/2022,Activo,536
8c26cd0e-74f4-11ed-9ddf-0242ac1c000c,6/3/2022,Inactivo,751
8c26cd90-74f4-11ed-9ddf-0242ac1c000c,11/3/2022,Inactivo,421
8c26cdfe-74f4-11ed-9ddf-0242ac1c000c,5/8/2022,Inactivo,434
8c26ce76-74f4-11ed-9ddf-0242ac1c000c,3/3/2022,Inactivo,457
8c26cee4-74f4-11ed-9ddf-0242ac1c000c,18/6/2022,Activo,784
8c26cf52-74f4-11ed-9ddf-0242ac1c000c,6/1/2022,Inactivo,768
8c26d056-74f4-11ed-9ddf-0242ac1c000c,2/9/2022,Activo,400
8c26d0d8-74f4-11ed-9ddf-0242ac1c000c,25/5/2022,Inactivo,518
8c26d146-74f4-11ed-9ddf-0242ac1c000c,11/6/2022,Activo,911
8c26d1be-74f4-11ed-9ddf-0242ac1c000c,19/9/2022,Inactivo,658
8c26d236-74f4-11ed-9ddf-0242ac1c000c,7/4/2022,Activo,946
8c26d2a4-74f4-11ed-9ddf-0242ac1c000c,22/8/2022,Inactivo,617
8c26d31c-74f4-11ed-9ddf-0242ac1c000c,8/2/2022,Inactivo,977
8c26d38a-74f4-11ed-9ddf-0242ac1c000c,28/5/2022,Activo,693
8c26d402-74f4-11ed-9ddf-0242ac1c000c,29/7/2022,Activo,814
8c26d47a-74f4-11ed-9ddf-0242ac1c000c,27/9/2022,Inactivo,917
8c26d4e8-74f4-11ed-9ddf-0242ac1c000c,28/7/2022,Inactivo,416
8c26d556-74f4-11ed-9ddf-0242ac1c000c,22/2/2022,Activo,812
8c26d5ce-74f4-11ed-9ddf-0242ac1c000c,12/5/2022,Inactivo,990
8c26d63c-74f4-11ed-9ddf-0242ac1c000c,24/7/2022,Activo,945
8c26d6be-74f4-11ed-9ddf-0242ac1c000c,13/2/2022,Activo,910
8c26d736-74f4-11ed-9ddf-0242ac1c000c,30/10/2022,Inactivo,685
8c26d7ae-74f4-11ed-9ddf-0242ac1c000c,10/3/2022,Activo,608
8c26d844-74f4-11ed-9ddf-0242ac1c000c,6/11/2022,Inactivo,703
8c26d8b2-74f4-11ed-9ddf-0242ac1c000c,14/9/2022,Inactivo,539
8c26d92a-74f4-11ed-9ddf-0242ac1c000c,11/6/2022,Activo,749
8c26d998-74f4-11ed-9ddf-0242ac1c000c,3/4/2022,Activo,747
8c26da06-74f4-11ed-9ddf-0242ac1c000c,15/2/2022,Activo,793
8c26da7e-74f4-11ed-9ddf-0242ac1c000c,11/8/2022,Activo,747
