VarIdentificadorInstitucionEducativa,VarNombreInstitucionEducativa,VarCorreoInstitucionEducativa,NbrTelefonoInstitucionEducativa,VarDescripcionInstitucionEducativa,VarEstadoInstitucionEducativa,VarTipoInstitucionEducativa
4a0f0c38-74f4-11ed-be5f-0242ac1c000c,Instituto Alejandro Ayllón,alejandro.ayllón@hotmail.com,998399312,Esse ad ad error quos dolorum. Suscipit veniam esse. Beatae in nihil.,Activo,Urbano
4a0f1534-74f4-11ed-be5f-0242ac1c000c,Instituto Piedad Valverde,piedad.valverde@hotmail.com,948912697,Illum totam quas autem ipsa inventore enim qui. Corrupti ut temporibus dolore sed odit.,Activo,Rural
4a0f161a-74f4-11ed-be5f-0242ac1c000c,Universidad José Luis Rivas,josé luis.rivas@hotmail.com,935898163,Totam illo laboriosam amet alias repudiandae facere. Aspernatur omnis itaque voluptatibus. Aliquam excepturi dolorum incidunt nemo sed. Voluptas dolore unde inventore eveniet eos assumenda.,Inactivo,Rural
4a0f16ba-74f4-11ed-be5f-0242ac1c000c,Instituto Nidia Rivera,nidia.rivera@hotmail.com,980310872,Earum alias repellendus beatae magni. Magni nostrum reiciendis enim atque sequi molestiae reiciendis. Deserunt eligendi iusto iste nostrum harum quibusdam.,Inactivo,Rural
4a0f1750-74f4-11ed-be5f-0242ac1c000c,Universidad Germán Cruz,germán.cruz@hotmail.com,938956480,A sint tenetur ratione quis itaque fuga. Voluptate distinctio exercitationem ab dolorem neque veritatis asperiores. Molestiae nobis ducimus modi.,Activo,Urbano
4a0f17dc-74f4-11ed-be5f-0242ac1c000c,Instituto Ileana Echeverría,ileana.echeverría@hotmail.com,927347566,Nemo occaecati at velit. Minima vel dolores eos ullam molestiae eius iusto. Eaque ex harum illum molestiae provident.,Inactivo,Urbano
4a0f1868-74f4-11ed-be5f-0242ac1c000c,Universidad Glauco Villena,glauco.villena@hotmail.com,967503570,Cum quas maiores id recusandae aut fuga. Deserunt cupiditate quasi aut. Voluptatum qui debitis vel facilis consectetur voluptatem.,Activo,Urbano
4a0f18fe-74f4-11ed-be5f-0242ac1c000c,Instituto Tere Losada,tere.losada@hotmail.com,990495125,Doloremque illum officiis consequuntur nisi. Corrupti ullam ipsum molestias distinctio veniam. Ad excepturi harum facilis quaerat quibusdam.,Inactivo,Urbano
4a0f198a-74f4-11ed-be5f-0242ac1c000c,Instituto Juan José Escribano,juan josé.escribano@hotmail.com,983617026,Rerum molestias aliquam doloribus quis porro quibusdam. Deserunt amet labore officia hic reprehenderit vitae. Doloremque reprehenderit quia dolorem sapiente.,Activo,Urbano
4a0f1a02-74f4-11ed-be5f-0242ac1c000c,Instituto Prudencia Jerez,prudencia.jerez@hotmail.com,925129018,Sequi eaque sit enim reiciendis excepturi exercitationem. Possimus itaque aut tenetur aperiam voluptate. Provident magni natus nostrum.,Activo,Rural
4a0f1a7a-74f4-11ed-be5f-0242ac1c000c,Universidad Elena Clemente,elena.clemente@hotmail.com,944081293,Reprehenderit quis tenetur ipsum. Maiores nobis quaerat dolorem totam doloribus qui.,Inactivo,Urbano
4a0f1afc-74f4-11ed-be5f-0242ac1c000c,Universidad Agustina Peláez,agustina.peláez@hotmail.com,971997240,Tempore voluptatibus illum distinctio harum possimus. Beatae alias illo nihil. Debitis officia optio.,Inactivo,Rural
4a0f1b74-74f4-11ed-be5f-0242ac1c000c,Instituto Lilia Viñas,lilia.viñas@hotmail.com,960646258,Cumque deserunt nobis magni ad iure sequi. Voluptatibus saepe iusto blanditiis incidunt nesciunt. Dolore ab tenetur inventore.,Inactivo,Rural
4a0f1bec-74f4-11ed-be5f-0242ac1c000c,Instituto Quique Aramburu,quique.aramburu@hotmail.com,990123199,Et tenetur dignissimos voluptatum. Nisi recusandae odio nemo dolorem similique at. Totam sit aspernatur corporis. In ducimus ea possimus impedit.,Activo,Rural
4a0f1c5a-74f4-11ed-be5f-0242ac1c000c,Instituto Samuel Sanabria,samuel.sanabria@hotmail.com,996461886,Quidem architecto nesciunt delectus. Ex molestias non officiis laborum est.,Activo,Rural
4a0f1cbe-74f4-11ed-be5f-0242ac1c000c,Instituto Felicidad Feliu,felicidad.feliu@hotmail.com,944167372,Minima ad doloremque in occaecati. Maxime sapiente architecto veniam quo quidem.,Activo,Rural
4a0f1d4a-74f4-11ed-be5f-0242ac1c000c,Universidad Duilio Fernández,duilio.fernández@hotmail.com,948449593,Itaque tempora beatae ab minus enim eum placeat. Consectetur similique dolorem voluptate ipsa vero. Ex optio eaque.,Activo,Rural
4a0f1de0-74f4-11ed-be5f-0242ac1c000c,Instituto Ani Campillo,ani.campillo@hotmail.com,982035418,Amet dignissimos est ipsum. Corrupti quibusdam dolor at esse itaque corrupti. Mollitia quae neque eius optio deleniti.,Activo,Urbano
4a0f1e80-74f4-11ed-be5f-0242ac1c000c,Instituto Julio César Verdejo,julio césar.verdejo@hotmail.com,911685688,Optio quo a laboriosam vero. Natus corporis in culpa ullam voluptas. Incidunt molestiae error dignissimos. Ducimus distinctio laborum facere iusto id excepturi.,Activo,Rural
4a0f1f0c-74f4-11ed-be5f-0242ac1c000c,Universidad Óscar Nicolás,óscar.nicolás@hotmail.com,971483795,Nisi dolore quisquam error natus. Praesentium perferendis distinctio nulla. Perspiciatis eaque magni deleniti.,Activo,Urbano
4a0f1f98-74f4-11ed-be5f-0242ac1c000c,Universidad Baltasar Barrios,baltasar.barrios@hotmail.com,900967755,Officiis sed odit. Quo tempora sunt repudiandae. Dicta aliquam ad corporis tenetur.,Inactivo,Rural
4a0f2024-74f4-11ed-be5f-0242ac1c000c,Instituto Ale Pons,ale.pons@hotmail.com,978854984,Labore ullam est. Mollitia dolor voluptas. Culpa sed deleniti totam consequuntur ab iste.,Activo,Urbano
4a0f20ba-74f4-11ed-be5f-0242ac1c000c,Instituto Lidia Salas,lidia.salas@hotmail.com,977266282,Praesentium nam veritatis omnis quasi cupiditate non. Tenetur voluptatem modi excepturi inventore.,Activo,Urbano
4a0f2146-74f4-11ed-be5f-0242ac1c000c,Instituto Loreto Riba,loreto.riba@hotmail.com,975909394,Dignissimos itaque eos aspernatur magnam sed. Voluptate ex itaque vitae.,Inactivo,Urbano
4a0f21d2-74f4-11ed-be5f-0242ac1c000c,Universidad Arsenio Cid,arsenio.cid@hotmail.com,942711312,Facilis velit sit praesentium quae provident temporibus. Id numquam veritatis nemo. Et atque atque inventore temporibus. Quam voluptatibus maxime perferendis accusantium.,Activo,Urbano
4a0f2268-74f4-11ed-be5f-0242ac1c000c,Universidad Yago Padilla,yago.padilla@hotmail.com,971976673,Qui et soluta voluptates rerum commodi. Quis veniam minima dicta amet at.,Activo,Rural
4a0f22fe-74f4-11ed-be5f-0242ac1c000c,Universidad Haydée Barbero,haydée.barbero@hotmail.com,980520157,Quaerat accusantium officia esse aliquam illo veniam. Ipsum velit maxime nisi incidunt quasi a. Unde consectetur earum harum dolorem qui molestiae. Eum voluptatum pariatur aliquam.,Inactivo,Urbano
4a0f238a-74f4-11ed-be5f-0242ac1c000c,Instituto Danilo Barroso,danilo.barroso@hotmail.com,968845318,Aperiam magnam assumenda accusamus aspernatur ea molestias. Quasi ab necessitatibus eligendi deleniti modi hic.,Inactivo,Rural
