VarIdentificadorParametros,VarAccionAfirSocioecoParametros,VarAccionAfirTerriParametros,VarAccionAfirRuralParametros,VarAccionAfirVulneraParametros,VarAccionAfirPueblosNacionParametros,VarCuposOfertaCarParametros,DtCuposOfertaCarParametros,VarNotaReferCarParametros
0aaa5702-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,3,Falso,33,4/10/2022,956
0aaa5996-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,4,Falso,28,15/5/2022,741
0aaa5a7c-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,2,Falso,43,9/10/2022,921
0aaa5ba8-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,3,Verdadero,12,18/7/2022,894
0aaa5c66-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,2,Falso,40,5/6/2022,751
0aaa5d1a-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,5,Verdadero,4,22/10/2022,744
0aaa5dc4-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,2,Falso,48,24/6/2022,950
0aaa5e64-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,0,Verdadero,11,26/9/2022,762
0aaa5f04-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,1,Falso,36,28/6/2022,780
0aaa5fa4-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,3,Falso,50,3/5/2022,938
0aaa6044-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,1,Verdadero,25,12/10/2022,875
0aaa60ee-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,0,Verdadero,28,21/11/2022,742
0aaa618e-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,0,Verdadero,25,23/9/2022,784
0aaa622e-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,6,Verdadero,15,2/11/2022,880
0aaa62d8-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,1,Falso,39,25/7/2022,941
0aaa6af8-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,5,Verdadero,22,15/9/2022,771
0aaa6d1e-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,6,Verdadero,36,2/6/2022,813
0aaa6ddc-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,0,Verdadero,1,27/11/2022,852
0aaa6e86-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,2,Verdadero,48,12/7/2022,793
0aaa6f1c-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,0,Falso,33,10/10/2022,788
0aaa6fc6-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,2,Falso,21,15/11/2022,724
0aaa705c-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,0,Verdadero,14,4/8/2022,803
0aaa70fc-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,3,Verdadero,50,29/8/2022,974
0aaa719c-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,2,Verdadero,43,12/7/2022,705
0aaa723c-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,2,Verdadero,17,25/7/2022,973
0aaa72d2-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,5,Verdadero,28,23/10/2022,799
0aaa7368-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,3,Verdadero,35,11/10/2022,818
0aaa7408-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,2,Verdadero,11,14/7/2022,708
0aaa749e-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,1,Verdadero,40,9/7/2022,877
0aaa7534-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,0,Falso,28,14/9/2022,773
0aaa75ca-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,5,Verdadero,22,8/9/2022,702
0aaa7674-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,1,Falso,5,11/5/2022,876
0aaa7714-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,1,Falso,13,2/11/2022,866
0aaa77aa-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,2,Falso,13,6/8/2022,866
0aaa784a-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,1,Falso,26,21/9/2022,773
0aaa78e0-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,3,Falso,2,30/11/2022,916
0aaa7980-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,6,Falso,5,28/9/2022,801
0aaa7a16-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,2,Falso,5,27/5/2022,702
0aaa7aac-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,5,Verdadero,35,29/9/2022,998
0aaa7b4c-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,4,Falso,48,7/6/2022,884
0aaa7be2-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,3,Verdadero,15,24/10/2022,873
0aaa7c82-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,2,Falso,36,10/9/2022,840
0aaa7d22-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,2,Verdadero,23,12/9/2022,840
0aaa7db8-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,1,Falso,49,1/9/2022,842
0aaa7e58-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,5,Verdadero,21,1/7/2022,973
0aaa7eee-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,0,Verdadero,40,6/9/2022,743
0aaa7f8e-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,1,Falso,10,14/6/2022,973
0aaa8038-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,3,Falso,33,27/5/2022,826
0aaa80d8-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,1,Falso,41,17/6/2022,915
0aaa8178-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,1,Verdadero,22,14/7/2022,811
0aaa8286-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,6,Verdadero,18,6/11/2022,932
0aaa8344-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,0,Verdadero,42,5/6/2022,765
0aaa83e4-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,4,Falso,27,26/11/2022,911
0aaa847a-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,0,Falso,17,16/9/2022,993
0aaa8510-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,2,Verdadero,10,8/6/2022,784
0aaa85b0-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,3,Verdadero,32,4/6/2022,860
0aaa8650-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,0,Falso,31,3/9/2022,786
0aaa877c-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,0,Falso,27,25/6/2022,915
0aaa881c-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,6,Falso,3,11/11/2022,758
0aaa88bc-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,4,Verdadero,9,4/10/2022,961
