VarIdentificadorParroquia,VarNombreParroquia,VarEstadoParroquia,VarIdentificadorProvincia,VarIdentificadorCanton
359d039c-74f7-11ed-a487-0242ac1c000c,Parroquia Madrid,Activo,5d69eeee-74f7-11ed-8d69-0242ac1c000c,8c050784-74f7-11ed-884d-0242ac1c000c
359d070c-74f7-11ed-a487-0242ac1c000c,Parroquia Huelva,Activo,5d69f132-74f7-11ed-8d69-0242ac1c000c,8c050932-74f7-11ed-884d-0242ac1c000c
359d07e8-74f7-11ed-a487-0242ac1c000c,Parroquia Cádiz,Inactivo,5d69f1f0-74f7-11ed-8d69-0242ac1c000c,8c0509b4-74f7-11ed-884d-0242ac1c000c
359d089c-74f7-11ed-a487-0242ac1c000c,Parroquia Albacete,Inactivo,5d69f29a-74f7-11ed-8d69-0242ac1c000c,8c050a2c-74f7-11ed-884d-0242ac1c000c
359d093c-74f7-11ed-a487-0242ac1c000c,Parroquia Burgos,Inactivo,5d69f330-74f7-11ed-8d69-0242ac1c000c,8c050a90-74f7-11ed-884d-0242ac1c000c
359d09dc-74f7-11ed-a487-0242ac1c000c,Parroquia Córdoba,Inactivo,5d69f3c6-74f7-11ed-8d69-0242ac1c000c,8c050afe-74f7-11ed-884d-0242ac1c000c
359d0a72-74f7-11ed-a487-0242ac1c000c,Parroquia Valencia,Activo,5d69f452-74f7-11ed-8d69-0242ac1c000c,8c050b62-74f7-11ed-884d-0242ac1c000c
359d0b1c-74f7-11ed-a487-0242ac1c000c,Parroquia Santa Cruz de Tenerife,Inactivo,5d69f4f2-74f7-11ed-8d69-0242ac1c000c,8c050bc6-74f7-11ed-884d-0242ac1c000c
359d0bb2-74f7-11ed-a487-0242ac1c000c,Parroquia Ourense,Inactivo,5d69f57e-74f7-11ed-8d69-0242ac1c000c,8c050c20-74f7-11ed-884d-0242ac1c000c
359d0c52-74f7-11ed-a487-0242ac1c000c,Parroquia Castellón,Activo,5d69f60a-74f7-11ed-8d69-0242ac1c000c,8c050c8e-74f7-11ed-884d-0242ac1c000c
359d0ce8-74f7-11ed-a487-0242ac1c000c,Parroquia Zamora,Activo,5d69f68c-74f7-11ed-8d69-0242ac1c000c,8c050d24-74f7-11ed-884d-0242ac1c000c
359d0d88-74f7-11ed-a487-0242ac1c000c,Parroquia Ávila,Activo,5d69f718-74f7-11ed-8d69-0242ac1c000c,8c050d92-74f7-11ed-884d-0242ac1c000c
359d0e1e-74f7-11ed-a487-0242ac1c000c,Parroquia Burgos,Activo,5d69f7a4-74f7-11ed-8d69-0242ac1c000c,8c050df6-74f7-11ed-884d-0242ac1c000c
359d0eb4-74f7-11ed-a487-0242ac1c000c,Parroquia Córdoba,Inactivo,5d69f826-74f7-11ed-8d69-0242ac1c000c,8c050e5a-74f7-11ed-884d-0242ac1c000c
359d0f4a-74f7-11ed-a487-0242ac1c000c,Parroquia Barcelona,Activo,5d69f8a8-74f7-11ed-8d69-0242ac1c000c,8c050ebe-74f7-11ed-884d-0242ac1c000c
359d0fe0-74f7-11ed-a487-0242ac1c000c,Parroquia Murcia,Activo,5d69f92a-74f7-11ed-8d69-0242ac1c000c,8c050f22-74f7-11ed-884d-0242ac1c000c
359d1080-74f7-11ed-a487-0242ac1c000c,Parroquia Cáceres,Inactivo,5d69f9ac-74f7-11ed-8d69-0242ac1c000c,8c050f86-74f7-11ed-884d-0242ac1c000c
359d1116-74f7-11ed-a487-0242ac1c000c,Parroquia Ceuta,Activo,5d69fa42-74f7-11ed-8d69-0242ac1c000c,8c050ff4-74f7-11ed-884d-0242ac1c000c
359d11ac-74f7-11ed-a487-0242ac1c000c,Parroquia Cádiz,Activo,5d69face-74f7-11ed-8d69-0242ac1c000c,8c051058-74f7-11ed-884d-0242ac1c000c
359d1242-74f7-11ed-a487-0242ac1c000c,Parroquia Segovia,Inactivo,5d69fb5a-74f7-11ed-8d69-0242ac1c000c,8c0510c6-74f7-11ed-884d-0242ac1c000c
359d13a0-74f7-11ed-a487-0242ac1c000c,Parroquia Baleares,Inactivo,5d69fbe6-74f7-11ed-8d69-0242ac1c000c,8c051120-74f7-11ed-884d-0242ac1c000c
359d14fe-74f7-11ed-a487-0242ac1c000c,Parroquia Melilla,Inactivo,5d69fc72-74f7-11ed-8d69-0242ac1c000c,8c051184-74f7-11ed-884d-0242ac1c000c
359d15a8-74f7-11ed-a487-0242ac1c000c,Parroquia Zamora,Activo,5d69fcfe-74f7-11ed-8d69-0242ac1c000c,8c0511f2-74f7-11ed-884d-0242ac1c000c
359d1648-74f7-11ed-a487-0242ac1c000c,Parroquia León,Inactivo,5d69fde4-74f7-11ed-8d69-0242ac1c000c,8c051256-74f7-11ed-884d-0242ac1c000c
359d16e8-74f7-11ed-a487-0242ac1c000c,Parroquia Teruel,Activo,5d69eeee-74f7-11ed-8d69-0242ac1c000c,8c0512d8-74f7-11ed-884d-0242ac1c000c
359d1800-74f7-11ed-a487-0242ac1c000c,Parroquia Zaragoza,Inactivo,5d69f132-74f7-11ed-8d69-0242ac1c000c,8c051346-74f7-11ed-884d-0242ac1c000c
