VarIdentificadorSedes,VarNombreSedes,VarDescripcionSedes,NbrTelefonoSedes,VarEstadoSedes,VarIdentificadorProvincia,VarIdentificadorParroquia,VarIdentificadorCanton,VarIdentificadorInstitucionEducativa
19043022-74f5-11ed-b0b8-0242ac1c000c,QUITO,Dolores nulla quae dolore sapiente deleniti qui maxime. Quod itaque eum. Commodi laboriosam deserunt totam. Accusantium adipisci magni similique eligendi accusantium soluta.,950916982,Inactivo,5d69eeee-74f7-11ed-8d69-0242ac1c000c,359d039c-74f7-11ed-a487-0242ac1c000c,8c050784-74f7-11ed-884d-0242ac1c000c,4a0f0c38-74f4-11ed-be5f-0242ac1c000c
19043392-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - CUENCA,Ullam cumque officiis enim et officia corrupti. Aspernatur saepe reprehenderit tempore.,934285959,Inactivo,5d69f132-74f7-11ed-8d69-0242ac1c000c,359d070c-74f7-11ed-a487-0242ac1c000c,8c050932-74f7-11ed-884d-0242ac1c000c,4a0f1534-74f4-11ed-be5f-0242ac1c000c
190434f0-74f5-11ed-b0b8-0242ac1c000c,SEDE - CUENCA,Eius amet dignissimos accusantium et. Illum sapiente ratione accusantium. Quia laudantium facere quia perspiciatis.,984722882,Inactivo,5d69f1f0-74f7-11ed-8d69-0242ac1c000c,359d07e8-74f7-11ed-a487-0242ac1c000c,8c0509b4-74f7-11ed-884d-0242ac1c000c,4a0f161a-74f4-11ed-be5f-0242ac1c000c
19043612-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - QUITO,Sint autem veritatis. Quos officia adipisci iusto debitis.,929629396,Inactivo,5d69f29a-74f7-11ed-8d69-0242ac1c000c,359d089c-74f7-11ed-a487-0242ac1c000c,8c050a2c-74f7-11ed-884d-0242ac1c000c,4a0f16ba-74f4-11ed-be5f-0242ac1c000c
19043716-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - JOSE RUBEN ORELLANA,Velit magnam ducimus corporis nobis quo doloremque. Eaque praesentium incidunt quis. Praesentium quae dignissimos perferendis ab minus laudantium voluptatum.,926428758,Activo,5d69f330-74f7-11ed-8d69-0242ac1c000c,359d093c-74f7-11ed-a487-0242ac1c000c,8c050a90-74f7-11ed-884d-0242ac1c000c,4a0f1750-74f4-11ed-be5f-0242ac1c000c
19043810-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - CALCETA,Aspernatur sunt nam quo. Nisi odio veritatis voluptas dolore maxime dicta.,951923955,Activo,5d69f3c6-74f7-11ed-8d69-0242ac1c000c,359d09dc-74f7-11ed-a487-0242ac1c000c,8c050afe-74f7-11ed-884d-0242ac1c000c,4a0f17dc-74f4-11ed-be5f-0242ac1c000c
190439be-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - RIOBAMBA,Possimus reiciendis nisi molestias. Et natus aperiam id mollitia similique corporis. Totam ut odit numquam error fugiat vel natus.,964970121,Activo,5d69f452-74f7-11ed-8d69-0242ac1c000c,359d0a72-74f7-11ed-a487-0242ac1c000c,8c050b62-74f7-11ed-884d-0242ac1c000c,4a0f1868-74f4-11ed-be5f-0242ac1c000c
19043afe-74f5-11ed-b0b8-0242ac1c000c,ORELLANA,Excepturi similique natus et at. Fugit temporibus ullam doloribus error illo recusandae.,988251669,Activo,5d69f4f2-74f7-11ed-8d69-0242ac1c000c,359d0b1c-74f7-11ed-a487-0242ac1c000c,8c050bc6-74f7-11ed-884d-0242ac1c000c,4a0f18fe-74f4-11ed-be5f-0242ac1c000c
19043c0c-74f5-11ed-b0b8-0242ac1c000c,MACAS,Rerum at veniam porro repellendus rerum. Quod odit fugit aspernatur esse.,965756322,Activo,5d69f57e-74f7-11ed-8d69-0242ac1c000c,359d0bb2-74f7-11ed-a487-0242ac1c000c,8c050c20-74f7-11ed-884d-0242ac1c000c,4a0f198a-74f4-11ed-be5f-0242ac1c000c
19043d10-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - GUAYAQUIL,Itaque nulla sapiente. Dignissimos exercitationem sunt expedita. A aspernatur fuga magni molestias saepe.,942017674,Activo,5d69f60a-74f7-11ed-8d69-0242ac1c000c,359d0c52-74f7-11ed-a487-0242ac1c000c,8c050c8e-74f7-11ed-884d-0242ac1c000c,4a0f1a02-74f4-11ed-be5f-0242ac1c000c
19043e0a-74f5-11ed-b0b8-0242ac1c000c,CANELOS,Sint iure earum impedit debitis cum eaque. Aliquid officia minus nostrum rerum maxime molestiae modi. Voluptatibus minus molestias ea pariatur autem totam cum.,953259679,Activo,5d69f68c-74f7-11ed-8d69-0242ac1c000c,359d0ce8-74f7-11ed-a487-0242ac1c000c,8c050d24-74f7-11ed-884d-0242ac1c000c,4a0f1a7a-74f4-11ed-be5f-0242ac1c000c
