VarIdentificadorUsuario,VarIdentificadorRol,VarIdentificadorPermisos
a69bade4-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69bb186-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69bb29e-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69bb384-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69bb456-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69bb532-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69bb60e-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69bb6cc-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69bb78a-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69bb85c-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69bb924-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69bb9ec-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69bbaaa-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69bbb7c-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69bbc4e-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69bbd16-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69bbdd4-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69bbe9c-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69bbf5a-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69bc022-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69bc0d6-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69bc19e-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69bc252-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69bc310-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69bc3ce-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69bc496-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69bc568-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69bc630-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69bc6f8-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69bc7b6-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69bc914-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69c11a8-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69c1478-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69c1590-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69c1676-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69c2314-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69c2440-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69c2512-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69c25e4-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69c26b6-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69c277e-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69c2846-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69c2904-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69c29cc-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69c2a94-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69c2b52-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69c2c06-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69c2cce-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
